[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	27,00	21,02 (5,00)	5,57	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	27,00	21,02 (5,00)	5,57	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	27,00	21,02 (5,00)	5,57	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	27,00	21,02 (5,00)	5,57	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	27,00	21,02 (5,00)	5,57	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	26,00	20,02 (4,00)	5,76	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	26,00	20,02 (4,00)	5,76	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	26,00	20,02 (4,00)	5,76	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	26,00	20,02 (4,00)	5,76	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	26,00	20,02 (4,00)	5,76	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	25,00	19,02 (3,00)	5,99	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	25,00	19,02 (3,00)	5,99	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	25,00	19,02 (3,00)	5,99	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	25,00	19,02 (3,00)	5,99	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	6,27	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	6,27	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	6,27	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	6,60	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	6,60	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (9,00)	6,53	0,04	0,00], [(0,00) -5,98	22,00	16,02 (0,00)	7,00	0,04	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	26,00	21,02 (5,00)	5,74	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	26,00	21,02 (5,00)	5,74	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	26,00	21,02 (5,00)	5,74	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	26,00	21,02 (5,00)	5,74	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	26,00	21,02 (5,00)	5,74	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	26,00	21,02 (5,00)	5,74	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	25,00	20,02 (4,00)	5,97	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	25,00	20,02 (4,00)	5,97	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	25,00	20,02 (4,00)	5,97	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	25,00	20,02 (4,00)	5,97	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	25,00	20,02 (4,00)	5,97	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	24,00	19,02 (3,00)	6,25	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	24,00	19,02 (3,00)	6,25	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	24,00	19,02 (3,00)	6,25	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	24,00	19,02 (3,00)	6,25	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	23,00	18,02 (2,00)	6,58	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	23,00	18,02 (2,00)	6,58	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	23,00	18,02 (2,00)	6,58	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (8,00)	6,53	0,04	0,00], [(0,00) -4,98	21,00	16,02 (0,00)	7,40	0,05	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	25,00	21,02 (5,00)	5,95	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	25,00	21,02 (5,00)	5,95	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	25,00	21,02 (5,00)	5,95	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	25,00	21,02 (5,00)	5,95	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	25,00	21,02 (5,00)	5,95	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	25,00	21,02 (5,00)	5,95	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	24,00	20,02 (4,00)	6,23	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	24,00	20,02 (4,00)	6,23	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	24,00	20,02 (4,00)	6,23	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	24,00	20,02 (4,00)	6,23	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	24,00	20,02 (4,00)	6,23	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	23,00	19,02 (3,00)	6,56	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	23,00	19,02 (3,00)	6,56	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	23,00	19,02 (3,00)	6,56	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	23,00	19,02 (3,00)	6,56	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	21,00	17,02 (1,00)	7,38	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	21,00	17,02 (1,00)	7,38	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (7,00)	6,53	0,04	0,00], [(0,00) -3,98	20,00	16,02 (0,00)	7,88	0,05	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	24,00	21,02 (5,00)	6,22	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	24,00	21,02 (5,00)	6,22	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	24,00	21,02 (5,00)	6,22	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	24,00	21,02 (5,00)	6,22	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (6,00)	6,53	0,04	0,00], [(0,00) -2,98	24,00	21,02 (5,00)	6,22	0,08	0,00]]
