[[(0,00) -1,98	14,00	12,02 (8,00)	5,16	3,81	0,00], [(0,00) -13,98	24,00	10,02 (0,00)	4,95	0,28	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	4,53	0,00]]
[[(0,00) -1,98	14,00	12,02 (7,00)	5,16	3,81	0,00], [(0,00) -12,98	24,00	11,02 (1,00)	4,90	0,32	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	4,57	0,00]]
[[(0,00) -1,98	14,00	12,02 (7,00)	5,16	3,81	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	0,32	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	4,58	0,00]]
[[(0,00) -1,98	14,00	12,02 (7,00)	5,16	3,81	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	0,32	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	4,58	0,00]]
[[(0,00) -1,98	14,00	12,02 (7,00)	5,16	3,81	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	0,32	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	3,81	0,00]]
[[(0,00) -1,98	14,00	12,02 (7,00)	5,16	3,81	0,00], [(0,00) -12,98	23,00	10,02 (0,00)	4,92	0,44	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	3,80	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (2,00)	4,85	0,35	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	4,60	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	0,35	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	4,61	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	0,35	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	4,61	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	0,35	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	3,85	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	0,35	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	4,62	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	0,35	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	4,62	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	0,35	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	4,62	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	0,35	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	3,86	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	0,35	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	3,86	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	0,35	0,00], [(0,00) -5,98	22,00	16,02 (0,00)	4,70	3,11	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	23,00	11,02 (1,00)	4,87	0,41	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	3,84	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	23,00	11,02 (0,00)	4,87	0,41	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	3,85	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	23,00	11,02 (0,00)	4,87	0,41	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	3,85	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	23,00	11,02 (0,00)	4,87	0,41	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	3,09	0,00]]
[[(0,00) -1,98	14,00	12,02 (6,00)	5,16	3,81	0,00], [(0,00) -11,98	22,00	10,02 (0,00)	4,89	1,19	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	3,06	0,00]]
