[[(0,00) -1,98	20,00	18,02 (14,00)	4,71	1,19	0,00], [(0,00) -13,98	24,00	10,02 (0,00)	4,95	5,29	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	9,53	0,00]]
[[(0,00) -1,98	20,00	18,02 (13,00)	4,71	1,19	0,00], [(0,00) -12,98	24,00	11,02 (1,00)	4,90	5,32	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	9,57	0,00]]
[[(0,00) -1,98	20,00	18,02 (13,00)	4,71	1,19	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	5,32	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,58	0,00]]
[[(0,00) -1,98	20,00	18,02 (13,00)	4,71	1,19	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	5,32	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,58	0,00]]
[[(0,00) -1,98	20,00	18,02 (13,00)	4,71	1,19	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	5,32	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	8,82	0,00]]
[[(0,00) -1,98	20,00	18,02 (13,00)	4,71	1,19	0,00], [(0,00) -12,98	23,00	10,02 (0,00)	4,92	4,56	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	8,81	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (2,00)	4,85	5,36	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	9,60	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	5,36	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,62	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	5,36	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,62	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	5,36	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	8,85	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	5,36	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	9,63	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	5,36	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	9,63	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	5,36	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	9,63	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	5,36	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	8,86	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	5,36	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	8,86	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	5,36	0,00], [(0,00) -5,98	22,00	16,02 (0,00)	4,70	8,11	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	23,00	11,02 (1,00)	4,87	4,60	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	8,84	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	23,00	11,02 (0,00)	4,87	4,60	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	8,85	0,00]]
[[(0,00) -1,98	20,00	18,02 (12,00)	4,71	1,19	0,00], [(0,00) -11,98	23,00	11,02 (0,00)	4,87	4,60	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	8,85	0,00]]
