1560.713	-30.183650862
1559.794	-30.0855283266
1559.04	-29.9772221707
1558.187	-29.8783132191
1557.433	-29.7737823723
1556.613	-29.6675870317
1555.858	-29.5684349218
1555.038	-29.4682849581
1554.153	-29.3615025315
1553.398	-29.2590881056
1552.578	-29.1581990884
1551.758	-29.0567271571
1550.971	-28.9548451526
1550.02	-28.8520239345
1549.397	-28.7486737469
1548.61	-28.6481453746
1547.822	-28.5477612084
1547.002	-28.4405515649
1546.182	-28.3349549156
1545.395	-28.2386153575
1544.608	-28.1296071139
1543.788	-28.0323297476
1543.001	-27.9279221248
1542.214	-27.8248282346
1541.426	-27.7245373855
1540.639	-27.6202391364
1539.852	-27.5164564201
1538.966	-27.4133797378
1538.278	-27.3115362198
1537.425	-27.2082016294
1536.638	-27.1073884059
1535.883	-27.0054215981
1535.096	-26.8978357962
1534.342	-26.8004897027
1533.587	-26.6975155714
1532.8	-26.5922634292
1532.013	-26.4897047139
1531.226	-26.3918837846
1530.438	-26.2885386226
1529.651	-26.1830747924
