0,1696	26,8792	
0,168	26,8753	
0,1661	26,8699	
0,1638	26,8629	
0,1785	26,9178	
0,1772	26,9158	
0,1758	26,9131	
0,1742	26,9092	
0,1722	26,9037	
0,1699	26,8967	
0,2137	26,9195	
0,1177	26,8593	
0,1165	26,8573	
0,1152	26,8546	
0,1137	26,8507	
0,112	26,8452	
0,11	26,8381	
0,0571	26,532	
0,0547	26,5242	
0,1099	26,6529	
0,061	26,5676	
0,0595	26,5625	
0,0577	26,5558	
0,0685	26,61	
0,0674	26,6082	
0,0663	26,6056	
0,0649	26,6019	
0,0633	26,5968	
0,0615	26,5901	
0,0012	24,2241	
0,0382	26,3267	
0,038	26,3242	
0,0378	26,321	
0,0375	26,3166	
0,0371	26,3107	
0,0366	26,3033	
0,025	26,0171	
0,0248	26,0132	
0,0244	26,0084	
0,024	26,0021	
0,0235	25,9937	
0,0039	24,8738	
0,0023	24,3638	
0,0022	24,3621	
0,002	24,36	
0,0018	24,3571	
0,0016	24,3533	
0,0013	24,3484	
0,0146	25,5917	
0,0144	25,5882	
0,0141	25,5839	
0,0137	25,578	
0,0133	25,5704	
0,0048	25,1312	
0,0061	25,1824	
0,0058	25,1792	
0,0056	25,1752	
0,0053	25,1699	
0,0049	25,1629	
0,013	25,2237	
0,0047	24,9844	
0,0044	24,9793	
0,004	24,9725	
0,0006	23,7314	
0,0006	23,7303	
0,0004	23,7287	
0,0003	23,7266	
0,0002	23,7238	
