0,2635	20,9445	|	23	27	27	27	27	27	12	11	4	9	9	0	
0,2613	20,7101	|	23	27	27	27	27	27	12	11	5	9	8	0	
0,2208	15,4213	|	21	27	27	27	27	27	20	2	6	8	7	0	
0,2130	13,7450	|	21	27	27	27	27	27	20	8	1	8	7	0	
0,2126	13,6273	|	21	27	27	27	27	27	20	8	2	8	6	0	
0,2210	15,4925	|	21	27	27	27	27	27	20	2	5	8	9	0	
0,2050	11,9940	|	21	27	27	27	27	27	20	9	7	7	0	0	
0,2202	15,1938	|	21	27	27	27	27	27	20	2	8	7	6	2	
0,2055	12,0985	|	21	27	27	27	27	27	20	9	7	6	2	0	
0,2119	13,4094	|	20	27	27	27	27	27	19	8	3	8	7	0	
0,2311	17,2639	|	23	27	27	27	27	27	20	3	5	8	9	0	
0,2098	13,0348	|	21	27	27	27	27	27	20	9	2	8	6	0	
0,2172	14,4099	|	20	27	27	27	27	27	19	6	3	8	8	0	
0,2173	14,5252	|	21	27	27	27	27	27	20	6	3	7	7	0	
0,2610	20,5981	|	23	27	27	27	27	27	12	11	5	9	9	0	
0,2055	12,1147	|	21	27	27	27	27	27	20	9	7	6	1	0	
0,2121	13,4517	|	21	27	27	27	27	27	20	8	3	8	6	0	
0,2061	12,3543	|	21	27	27	27	27	27	20	9	7	2	7	0	
0,2604	20,4542	|	23	27	27	27	27	27	12	11	5	10	8	0	
0,2576	20,2166	|	23	27	27	27	27	27	12	12	4	9	9	0	
0,2127	13,7022	|	21	27	27	27	27	27	20	8	2	7	6	1	
0,2095	12,9509	|	20	27	27	27	27	27	19	9	2	8	8	0	
0,2059	12,2759	|	21	27	27	27	27	27	20	9	7	3	7	0	
0,2314	17,3158	|	23	27	27	27	27	27	20	3	4	9	9	0	
0,2095	12,9955	|	20	27	27	27	27	27	19	9	2	8	7	0	
