0,3973	25,8564	|	23	24	25	25	6	7	7	0	
0,2393	19,9582	|	23	27	27	27	15	8	9	0	
0,3773	25,8017	|	23	25	25	25	7	7	7	0	
0,2410	20,5339	|	23	27	27	27	15	7	9	0	
0,2488	22,0039	|	23	27	27	27	14	6	9	0	
0,3427	25,5400	|	23	26	25	26	8	7	8	0	
0,3270	25,4141	|	23	26	26	26	8	8	8	0	
0,2482	21,2980	|	23	27	27	27	13	9	9	0	
0,2425	21,0437	|	23	27	27	27	15	6	9	0	
0,2853	24,8631	|	23	27	27	27	9	9	9	0	
0,2789	24,5766	|	23	27	27	27	10	8	9	0	
0,2616	23,3685	|	23	27	27	27	12	7	9	0	
0,3604	25,6695	|	23	25	25	26	7	7	8	0	
0,2534	22,4571	|	23	27	27	27	13	7	9	0	
0,3585	25,6683	|	23	26	25	25	8	7	7	0	
0,3128	25,2233	|	23	26	26	27	8	8	9	0	
0,2728	24,2257	|	23	27	27	27	11	7	9	0	
0,3108	25,2225	|	23	27	26	26	9	8	8	0	
0,2565	22,9311	|	23	27	27	27	13	6	9	0	
0,2979	25,0397	|	23	27	26	27	9	8	9	0	
0,2971	25,0386	|	23	27	27	26	9	9	8	0	
0,2590	23,0998	|	23	27	27	27	12	8	8	0	
0,2665	23,7426	|	23	27	27	27	11	8	9	0	
0,2554	22,5404	|	23	27	27	27	12	9	8	0	
0,2690	23,9770	|	23	27	27	27	11	8	8	3	
0,2715	24,0555	|	23	27	27	27	10	9	9	0	
0,2669	23,8099	|	23	27	27	27	12	6	9	0	
