0,0610	22,1584	|	16	19	19	18	19	18	19	17	18	20	0	1	0	0	1	0	1	0	0	0	
0,1270	22,4919	|	17	19	18	18	18	19	19	18	19	19	0	1	0	0	1	0	1	0	1	0	
0,0556	22,1146	|	17	18	19	17	19	18	19	19	19	20	0	1	0	0	1	0	1	0	1	0	
0,0146	21,0060	|	15	19	18	18	19	19	19	18	20	20	0	1	0	0	1	0	1	0	2	0	
0,0786	22,2426	|	16	19	19	17	20	18	19	18	19	20	0	1	0	0	1	0	1	1	0	0	
0,2151	22,6812	|	17	19	18	18	19	19	19	19	19	20	0	1	0	0	1	1	1	1	1	0	
0,2067	22,6808	|	17	19	18	18	19	19	19	18	21	24	0	1	0	0	1	1	1	0	3	0	
0,2371	22,6941	|	17	19	18	19	19	18	19	18	20	20	0	1	0	1	1	0	1	0	2	0	
0,0007	20,2576	|	15	19	18	18	20	17	19	18	17	23	0	1	0	0	1	0	1	0	0	0	
0,0584	22,1352	|	17	18	18	18	19	19	19	18	18	23	0	1	0	0	1	0	1	0	1	0	
0,0260	21,4876	|	16	19	18	18	19	18	19	18	17	21	0	1	0	0	1	0	1	0	0	0	
0,1361	22,5282	|	17	18	19	18	19	18	19	18	20	20	0	1	0	0	1	0	1	0	2	0	
0,0847	22,2970	|	16	19	18	19	19	18	19	18	18	24	0	1	0	0	1	0	1	0	0	0	
0,1222	22,4832	|	17	18	19	18	19	18	19	18	18	24	0	1	0	0	1	0	1	0	0	0	
0,0216	21,3081	|	15	19	18	19	19	18	19	18	20	22	0	1	0	0	1	0	1	0	2	0	
0,0961	22,3277	|	16	19	19	17	20	18	19	19	18	23	0	1	0	0	1	0	1	1	0	0	
0,0515	22,1062	|	16	19	18	18	19	19	19	18	18	24	0	1	0	0	1	0	1	0	0	0	
0,2265	22,6909	|	17	19	18	19	19	18	19	18	19	23	0	1	0	1	1	0	1	0	1	0	
0,0980	22,3654	|	17	18	19	17	20	18	19	18	18	20	0	1	0	0	1	0	1	0	0	0	
0,0001	20,1662	|	15	19	17	19	18	19	19	19	19	22	0	1	0	0	1	0	1	1	1	0	
0,0203	21,2375	|	15	19	19	18	19	18	19	18	19	22	0	1	0	0	1	0	1	1	1	0	
0,0178	21,1919	|	15	19	19	17	20	18	19	18	18	21	0	1	0	0	1	0	1	0	0	0	
0,0927	22,3252	|	16	19	18	19	19	18	19	18	19	24	0	1	0	0	1	0	1	0	1	0	
0,1356	22,5115	|	17	19	18	18	19	18	19	18	20	20	0	1	0	0	1	0	1	1	2	0	
0,0212	21,2728	|	15	19	19	18	19	18	19	19	18	20	0	1	0	0	1	1	1	0	0	0	
0,0503	22,0489	|	16	19	18	18	19	19	19	20	19	23	0	1	0	0	1	1	1	2	1	0	
0,1892	22,6628	|	17	19	18	18	19	19	19	18	19	19	0	1	0	0	1	1	1	0	1	0	
0,1023	22,3876	|	16	19	19	18	19	18	19	18	18	23	0	1	0	0	1	0	1	0	0	0	
0,0113	20,8878	|	15	19	18	18	20	18	19	18	17	21	0	1	0	0	1	0	1	0	0	0	
0,0795	22,2725	|	16	19	19	17	20	18	19	18	18	20	0	1	0	0	1	0	1	0	0	0	
0,1678	22,6358	|	17	19	18	18	19	18	19	19	19	24	0	1	0	0	1	0	1	1	1	0	
0,1668	22,6267	|	17	19	18	18	19	18	19	19	20	24	0	1	0	0	1	0	1	1	3	0	
0,0821	22,2895	|	16	19	18	19	19	18	19	18	18	19	0	1	0	0	1	0	1	0	0	0	
0,0012	20,3219	|	15	19	17	19	19	18	19	18	19	23	0	1	0	0	1	0	1	0	0	0	
0,0011	20,3206	|	15	19	17	19	19	18	19	18	19	22	0	1	0	0	1	0	1	0	0	0	
0,0362	21,8145	|	16	19	18	18	19	18	19	18	21	24	0	1	0	0	1	0	1	0	3	3	
0,0094	20,7407	|	15	19	18	18	19	18	19	19	19	20	0	1	0	0	1	0	1	0	0	0	
0,0087	20,7254	|	15	19	18	18	19	18	19	19	20	20	0	1	0	0	1	0	1	0	2	0	
0,0196	21,2036	|	15	19	18	19	18	19	19	19	19	21	0	1	0	0	1	0	1	1	1	0	
0,2377	22,6991	|	17	19	18	19	19	18	19	18	20	24	0	1	0	1	1	0	1	0	2	0	
0,0452	21,9891	|	16	19	18	18	19	19	19	17	19	20	0	1	0	0	1	0	1	0	0	0	
0,0322	21,7287	|	16	19	18	18	19	18	19	18	19	20	0	1	0	0	1	0	1	0	1	0	
0,2064	22,6740	|	17	19	18	18	19	19	19	18	21	19	0	1	0	0	1	1	1	0	3	0	
0,0326	21,7352	|	16	19	18	18	19	18	19	18	19	23	0	1	0	0	1	0	1	0	1	0	
0,2156	22,6861	|	17	19	18	18	19	19	19	19	19	24	0	1	0	0	1	1	1	1	1	0	
0,0508	22,0714	|	16	19	18	18	20	18	19	18	17	23	0	1	0	0	1	0	1	0	0	0	
0,0999	22,3806	|	16	19	19	18	19	18	19	18	18	19	0	1	0	0	1	0	1	0	0	0	
0,2007	22,6729	|	17	19	18	18	19	19	19	18	20	20	0	1	0	0	1	1	1	0	2	0
