0,1389	-1,5659	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	9	9	1	1	0
0,1546	-0,0019	|	19	26	27	27	27	27	27	27	27	27	19	16	9	8	8	8	9	3	1	0
0,1449	-0,0032	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	7	1	4	0
0,1500	-0,0021	|	20	27	27	27	27	27	26	27	27	27	19	16	9	9	9	9	8	1	2	0
0,1448	-0,0143	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	8	8	7	2	2	0
0,1393	-1,3365	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	9	8	2	1	0
0,1447	-0,0238	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	7	2	3	0
0,1447	-0,0191	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	7	2	2	0
0,1447	-0,0154	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	7	2	1	0
0,1447	-0,0378	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	7	9	3	1	0
0,1401	-1,0946	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	8	9	2	1	0
0,1397	-1,2955	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	9	8	1	2	0
0,1444	-0,0558	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	7	3	3	0
0,1407	-0,8995	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	8	8	3	1	0
0,1406	-1,0533	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	8	9	1	2	0
0,1411	-0,8582	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	8	8	2	2	0
0,1443	-0,1117	|	19	26	27	27	27	27	27	27	27	27	18	16	9	8	9	8	9	2	1	0
0,1427	-0,4313	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	9	3	1	0
0,1419	-0,6388	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	8	9	8	3	1	0
0,1430	-0,4268	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	8	9	7	3	1	0
0,1421	-0,6019	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	9	8	2	2	0
0,1423	-0,5909	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	8	9	8	2	1	0
0,1441	-0,1557	|	20	26	27	27	27	27	27	27	27	27	19	16	9	8	9	8	9	3	1	0
0,1438	-0,2136	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	8	8	8	3	1	0
0,1446	-0,0450	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	8	8	7	3	2	0
0,1446	-0,0403	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	8	8	7	3	1	0
0,1400	-1,1430	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	9	7	3	1	0
0,1445	-0,0498	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	7	3	2	0
0,1431	-0,3760	|	19	26	27	27	27	27	27	27	27	27	18	16	9	8	9	9	8	3	1	0
0,1418	-0,6436	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	9	8	3	1	0
0,1433	-0,3712	|	20	26	27	27	27	27	27	27	27	27	19	16	9	8	9	9	8	3	1	0
0,1445	-0,0451	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	7	3	1	0
0,1398	-1,2895	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	9	8	1	1	0
0,1425	-0,5687	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	9	8	1	3	0
0,1411	-0,8521	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	8	8	2	1	1
0,1422	-0,5958	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	9	8	2	1	0
0,1399	-1,2846	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	9	9	8	1	1	0
0,1437	-0,2184	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	8	3	1	0
0,1439	-0,1914	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	8	2	3	0
0,1435	-0,3274	|	19	26	27	27	27	27	27	27	27	27	18	16	9	8	9	9	8	2	1	0
0,1414	-0,8254	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	8	8	1	3	0
0,1413	-0,8473	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	9	8	8	2	1	0
0,1436	-0,2245	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	8	3	2	0
0,1442	-0,1544	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	8	1	2	1
0,1443	-0,1179	|	19	26	27	27	27	27	27	27	27	27	18	16	9	8	9	8	9	2	2	0
0,1439	-0,1605	|	19	26	27	27	27	27	27	27	27	27	18	16	9	8	9	8	9	3	1	0
0,1413	-0,8410	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	9	9	2	1	0
0,1406	-1,0472	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	8	9	1	1	1
0,1435	-0,3336	|	19	26	27	27	27	27	27	27	27	27	18	16	9	8	9	9	8	2	2	0
0,1426	-0,5578	|	20	26	27	27	27	27	27	27	27	27	19	16	9	9	8	9	8	1	2	0
0,1417	-0,6897	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	9	7	9	3	1	0
0,1442	-0,1507	|	19	26	27	27	27	27	27	27	27	27	18	16	9	9	8	8	8	1	1	0
