27	0	-5.99950638212	21.0184346209	5.56647130684	0.0390487153799981
27	1	-6.99954422071	20.0173345766	5.5911179233	0.03546417946999725
27	2	-7.99984096692	19.0156649676	5.61930887701	0.03099207062999909
27	3	-8.99970501838	18.0140325657	5.65102737529	0.025320919109997675
27	4	-9.99952918732	17.0122031069	5.68607673691	0.023049819175998465
27	5	-10.9993550655	16.0096751536	5.72410864139	0.027425177547002022
27	6	-11.9993593762	15.0064341028	5.76457179525	0.03703657774999769
27	7	-12.999752361	13.9990724559	5.76798557339	0.2692169064100014
27	8	-13.999765715	12.993783046	5.81551225728	0.22338974540999956
27	9	-14.9999817609	11.9880401061	5.86389084616	0.1679698694400038
27	10	-15.9997958809	10.9812681002	5.91227619678	0.10015017063000542
27	11	-16.9994729406	9.97277389929	5.96049376298	0.028956299309996325
27	12	-17.9994890924	8.96149799876	6.00799267921	0.11059561946999708
27	13	-18.9995409153	7.94717306133	6.05463568346	0.23252063893999875
27	14	-19.9994797913	6.92676511851	6.06070621288	0.03944791139999637
27	15	-20.9994877831	6.41466600333	6.09890925086	0.2649177922999968
27	16	-21.9995413751	5.39119090515	6.14138873954	0.08468210099999851
27	17	-23.0000551698	4.36132483457	6.18226163974	0.14150667390000038
27	18	-23.9991867244	3.32668231031	6.21982382033	0.37294667269999593
27	19	-24.999386998	2.28537089792	6.2538217355	0.6269963297000025
27	20	-25.9996309416	1.24021755015	6.28117061168	0.8984305435000053
27	21	-26.9995621894	0.195535822739	6.30081568067	1.182745179900003
27	22	-27.9995428398	-0.102360805717	6.30108056096	0.8452898098000006
26	0	-4.99946920887	21.0177954094	5.73883924444	0.03926222304000504
26	1	-5.99952620089	20.0164772802	5.75992604198	0.035749005860001404
26	2	-6.99959684644	19.0147322212	5.78445363603	0.03122408044999858
26	3	-7.99941504828	18.013016883	5.81254289368	0.025727952360000472
26	4	-8.99946810537	17.0106609194	5.8442897098	0.023168346588001043
26	5	-9.99933999108	16.0077933179	5.87947867223	0.026364207546901497
26	6	-10.9997672714	15.0036020124	5.91787389206	0.035594899270002145
26	7	-11.9997129443	13.999237756	5.958928817	0.05027950827999916
26	8	-12.9997352648	12.9900166338	5.95778581433	0.25267253438000026
26	9	-13.9996499917	11.9836892797	6.00702892146	0.2037596936699977
26	10	-14.9991977913	10.9762013101	6.05760589632	0.14386962949000193
26	11	-15.9994676206	9.96611213159	6.10886247122	0.07054074153999679
26	12	-16.9995168505	8.95361070217	6.16071154448	0.047974225509996415
26	13	-17.9994243929	7.93825412007	6.21267448055	0.1554605196399983
26	14	-18.9998408834	6.91840212339	6.26466911703	0.2870749857600039
26	15	-19.9997534817	6.40310828632	6.26293801085	0.36477487559999844
26	16	-20.9998440403	5.37858487109	6.31437148314	0.19339527340000018
26	17	-22.0001072997	4.3484486038	6.36563512499	0.05061737530000343
26	18	-23.0000754298	3.3130520567	6.41637042296	0.2449278851999992
26	19	-23.9994494059	2.27322875117	6.46494621648	0.4951227792999937
26	20	-24.9996094779	1.22911754512	6.5107814911	0.7673097004999931
26	21	-25.99950756	0.186049563352	6.55226156188	1.0561055413999973
26	22	-26.999371974	-0.110276493265	6.57946130549	0.7311586492000011
25	0	-3.99999828206	21.0166237335	5.95379964983	0.03944241485000077
25	1	-4.99966695659	20.0156560426	5.97157572805	0.035984931859996294
25	2	-5.99970848417	19.0137802818	5.9926347887	0.031496992930001966
25	3	-6.99936916082	18.0121747789	6.01712761791	0.026193915809997748
25	4	-7.99973086533	17.0091761036	6.04536522419	0.023299942981001465
25	5	-8.99991341967	16.0057166891	6.07734143761	0.025542800698698187
25	6	-9.99968168296	15.0020106761	6.11291059013	0.0346813048200012
25	7	-10.9995102115	13.9971080593	6.15191105897	0.048799972969998606
25	8	-11.9995826425	12.9902164086	6.19392464326	0.0672677400899957
25	9	-12.9999429251	11.9797930955	6.18763082647	0.23316054081000104
25	10	-13.999795395	10.9711290221	6.23888766799	0.17972887061999998
25	11	-14.99974489	9.96041217187	6.29212082607	0.11440768794999912
25	12	-15.9994698495	8.94722965595	6.34666067892	0.03791722469999925
25	13	-16.999710548	7.93064847813	6.40245345354	0.09012341301999882
25	14	-17.9997173322	6.91014745787	6.45919007126	0.20946540296000649
25	15	-18.9998526711	6.39472282535	6.50967821323	0.08778727050000157
25	16	-19.999352093	5.36845492728	6.51263449632	0.2927301662000019
25	17	-20.9999689322	4.33754490297	6.57194630982	0.1088808911000001
25	18	-21.999931636	3.30185882179	6.63237182801	0.12282665970000295
25	19	-22.9992955737	2.26224328262	6.69257139033	0.3648201697000033
25	20	-23.9993023083	1.21915158661	6.75358257859	0.6336151730000061
25	21	-25.0000960149	0.176365298357	6.81207219137	0.9230515822000065
25	22	-25.9995988939	-0.118337539785	6.86039979013	0.6035923851000042
24	0	-2.99971383673	21.016438878	6.21601358008	0.0396281310600024
24	1	-3.99938693953	20.0153687817	6.23097576127	0.035936640920002816
24	2	-4.99951927852	19.0135337634	6.2488912456	0.0319657577000001
24	3	-5.99943758545	18.0111853113	6.2700968922	0.026444725020002835
24	4	-6.99963049144	17.0084006494	6.29482757706	0.02342607794799889
24	5	-7.99954371538	16.0049133016	6.32343250761	0.02485490897749898
24	6	-8.99980816099	15.0002600902	6.35591976361	0.034353477379998054
24	7	-9.99947598379	13.9953711578	6.39218699782	0.04792400059000457
24	8	-10.9994657588	12.9881984089	6.43211747412	0.0656148355500008
24	9	-11.9994985392	11.9802196954	6.47527644225	0.08729631401000049
24	10	-12.9995408832	10.9679748091	6.4633127811	0.20931227910999795
