0,0043	1300,0000	|	-19	24	17	15	19	19	19	16	15	19	14	17	18	15	21	15	14	20	23	15	18	
0,0194	2900,0000	|	-12	20	19	19	14	19	16	15	15	22	18	16	17	20	20	20	21	14	18	16	24	
0,0615	1400,0000	|	-18	20	18	19	17	19	17	19	20	14	14	17	15	20	20	16	19	14	18	17	22	
0,0354	3900,0000	|	-13	23	16	19	18	20	17	16	15	21	19	16	16	15	18	20	15	14	24	15	22	
0,0093	4900,0000	|	-11	20	16	20	21	14	21	15	21	16	21	15	18	18	19	14	19	19	16	19	20	
0,0527	900,0000	|	-19	24	17	16	16	16	20	16	15	23	14	17	18	15	21	14	14	21	23	15	19	
0,0836	3800,0000	|	-13	20	19	19	18	17	17	14	14	21	21	16	20	16	23	20	20	17	15	15	18	
0,0469	4500,0000	|	-14	19	22	22	18	18	16	17	16	17	14	19	20	15	19	20	16	14	20	14	22	
0,0609	1950,0000	|	-18	15	18	21	22	14	14	20	20	19	21	16	15	21	23	18	15	14	21	14	15	
0,0844	3900,0000	|	-14	19	19	19	24	14	17	17	16	17	20	16	16	19	20	18	14	21	14	17	22	
0,0648	1100,0000	|	-18	19	17	22	18	23	14	14	20	15	14	16	17	20	21	19	15	14	15	19	24	
0,0571	4650,0000	|	-11	20	16	20	21	14	21	15	18	16	21	15	18	21	19	14	19	19	16	19	20	
0,0399	4000,0000	|	-12	19	19	22	16	19	17	14	20	16	14	16	20	20	19	19	16	16	20	17	23	
0,0021	1900,0000	|	-18	24	16	19	14	20	16	17	15	18	19	17	17	15	22	15	14	23	22	15	16	
0,0174	2700,0000	|	-19	19	17	22	15	18	19	18	19	20	15	17	18	21	21	15	16	15	15	17	15	
0,0806	2350,0000	|	-19	20	21	20	14	18	16	17	20	18	21	16	14	20	20	16	15	15	15	17	19	
0,0786	3550,0000	|	-14	19	19	19	14	15	21	17	20	22	20	17	15	20	18	20	14	14	19	17	19	
0,0082	1200,0000	|	-19	23	17	19	22	15	17	15	15	14	20	15	19	17	20	19	14	17	16	18	21	
0,0779	2000,0000	|	-14	17	19	21	19	16	16	17	17	14	22	17	18	14	16	24	18	18	18	17	23	
0,0230	3700,0000	|	-16	20	18	23	15	21	16	14	21	22	22	16	14	17	17	18	14	14	18	17	18	
0,0347	4200,0000	|	-13	23	23	19	18	14	14	17	15	22	14	16	15	19	19	20	19	14	18	18	22	
0,0796	2100,0000	|	-14	20	21	19	19	17	18	14	15	14	20	15	19	15	20	15	18	22	19	16	24	
0,0329	4700,0000	|	-14	23	20	19	14	19	15	17	20	23	14	18	18	16	20	18	15	14	17	17	20	
0,0717	7200,0000	|	-9	24	17	23	19	17	15	16	15	18	20	18	17	15	22	20	15	14	20	18	20	
0,0852	4350,0000	|	-11	24	19	20	14	16	16	16	15	21	14	17	21	19	20	15	21	14	23	18	19	
0,0010	2500,0000	|	-13	23	17	20	18	20	18	16	15	15	16	19	16	14	18	16	15	21	24	18	21	
0,0758	2500,0000	|	-13	15	18	18	20	21	19	17	21	16	15	16	17	20	21	19	15	14	21	16	24	
0,0126	1600,0000	|	-19	23	17	18	16	22	17	19	15	17	15	16	14	16	22	19	14	17	22	16	18	
0,0286	3550,0000	|	-13	19	19	19	15	21	19	20	15	17	16	16	16	19	21	15	15	18	21	16	24	
0,0103	4250,0000	|	-10	24	18	14	14	19	17	17	20	21	14	16	18	20	20	20	21	14	15	18	24	
0,0562	2100,0000	|	-13	15	16	20	19	19	18	17	20	14	21	16	18	21	19	16	19	22	18	16	20	
0,0512	1000,0000	|	-19	24	16	20	15	18	24	17	21	14	18	15	14	18	14	16	15	14	21	15	24	
0,0706	4550,0000	|	-14	24	17	22	16	16	17	17	20	15	18	16	17	20	16	21	15	15	18	18	18	
0,0950	5650,0000	|	-14	24	19	19	17	19	17	17	19	18	14	19	17	19	21	20	16	14	18	15	14	
0,0578	3650,0000	|	-15	24	19	15	17	19	15	17	19	21	14	19	17	19	21	20	14	14	18	15	19	
0,0604	3250,0000	|	-14	20	21	19	14	19	17	16	15	15	21	19	17	20	18	19	18	14	18	19	20	
0,0061	4600,0000	|	-14	20	23	18	18	17	16	14	16	21	21	16	15	16	24	20	19	17	15	14	18	
