[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (4,00)	5,21	7,63	0,00], [(0,00) -13,98	24,00	10,02 (0,00)	4,95	3,54	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	0,71	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (3,00)	5,21	7,63	0,00], [(0,00) -12,98	24,00	11,02 (1,00)	4,90	3,50	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	0,74	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (3,00)	5,21	7,63	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	3,50	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	0,76	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (3,00)	5,21	7,63	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	3,50	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	0,76	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (3,00)	5,21	7,63	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	3,50	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	0,01	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (3,00)	5,21	7,63	0,00], [(0,00) -12,98	23,00	10,02 (0,00)	4,92	4,26	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	0,02	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (2,00)	5,21	7,63	0,00], [(0,00) -11,98	24,00	12,02 (2,00)	4,85	3,47	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	0,78	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (2,00)	5,21	7,63	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	3,47	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	0,79	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (2,00)	5,21	7,63	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	3,47	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	0,79	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (2,00)	5,21	7,63	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	3,47	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	0,03	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (2,00)	5,21	7,63	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	3,47	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	0,80	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (2,00)	5,21	7,63	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	3,47	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	0,80	0,00]]
[[(0,00) -1,98	14,00	12,02 (0,00)	5,16	3,81	0,00], [(0,00) -5,98	14,00	8,02 (2,00)	5,21	7,63	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	3,47	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	0,80	0,00]]
