0,708	19,2022	
0,6849	19,6145	
0,5651	19,7758	
0,5651	19,7758	
0,5669	19,7731	
0,6008	19,6697	
0,6599	19,9697	
0,5284	20,1457	
0,5284	20,1457	
0,5303	20,1428	
0,409	20,2886	
0,409	20,2886	
0,409	20,2886	
0,4107	20,2862	
0,4107	20,2862	
0,4125	20,2835	
0,5688	20,0313	
0,4573	20,1949	
0,4573	20,1949	
0,4589	20,1922	
0,4785	20,0863	
0,6342	20,2716	
0,4918	20,4612	
0,4918	20,4612	
0,4939	20,458	
0,3622	20,6156	
0,3622	20,6156	
0,3622	20,6156	
0,3641	20,6129	
0,3641	20,6129	
0,366	20,61	
0,2383	20,7392	
0,2383	20,7392	
0,2383	20,7392	
0,2383	20,7392	
0,24	20,7369	
0,24	20,7369	
0,24	20,7369	
0,2417	20,7345	
0,2417	20,7345	
0,2436	20,7317	
0,5369	20,3392	
0,4156	20,5156	
0,4156	20,5156	
0,4174	20,5127	
0,3058	20,6587	
0,3058	20,6587	
0,3058	20,6587	
0,3074	20,6562	
0,3074	20,6562	
0,309	20,6536	
0,4413	20,3993	
0,3407	20,5636	
0,3407	20,5636	
0,3422	20,5609	
0,3435	20,454	
