[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (14,00)	5,00	0,62	0,00], [(0,00) -13,98	24,00	10,02 (0,00)	4,95	4,71	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	8,96	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (13,00)	5,00	0,62	0,00], [(0,00) -12,98	24,00	11,02 (1,00)	4,90	4,75	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	9,00	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (13,00)	5,00	0,62	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	4,75	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,01	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (13,00)	5,00	0,62	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	4,75	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,01	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (13,00)	5,00	0,62	0,00], [(0,00) -12,98	24,00	11,02 (0,00)	4,90	4,75	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	8,24	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (13,00)	5,00	0,62	0,00], [(0,00) -12,98	23,00	10,02 (0,00)	4,92	3,99	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	8,23	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	24,00	12,02 (2,00)	4,85	4,78	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	9,03	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	4,78	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,04	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	4,78	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	9,04	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	24,00	12,02 (1,00)	4,85	4,78	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	8,28	0,00]]
[[(0,00) -1,98	23,00	21,02 (0,00)	4,63	3,53	0,00], [(0,00) 3,02	15,00	18,02 (12,00)	5,00	0,62	0,00], [(0,00) -11,98	24,00	12,02 (0,00)	4,85	4,78	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	9,05	0,00]]
